/*
// 注釋/例句
轉換前誤	正

*/


// 《随波逐流之一代军师》	游了一会儿， (~游<role.type:ARGM-EXT>一会儿 v:游+u:了+m:一会儿)
// 《随波逐流之一代军师》	官枫顺利地潜入高邮湖，游了一夜， (~游<COO>v:潜入 ~游<role.type:A0>官枫 ~游<role.type:ARGM-EXT>一夜 v:游+u:了+m:一+q:夜)
// 《我师兄实在太稳健了》	一条扁平的海鱼游了过来， (~游<role.type:A0>一条扁平的海鱼 m:一+q:条+z:扁平+u:的+n:海+n:鱼+v:游+u:了+v:过来)
// 《我师兄实在太稳健了》	这位鲛人小公主游了过去。 (~游<role.type:A0>这位鲛人小公主 r:这+q:位+n:鲛人+a:小+n:公主+v:游+u:了+v:过去+wp:。)
// 《我师兄实在太稳健了》	李长寿与牛头马面立刻游了过去， (~游<role.type:A0>李长寿与牛头马面 ~游<role.type:ARGM-ADV>立刻 nh:李长寿+c:与+i:牛头马面+d:立刻+v:游+u:了+v:过去+wp:，)
// 《我的一天有48小时》	这才握着【藏鞘】游了进去。 (~游<COO>v:握 ~游<role.type:ARGM-ADV>这 ~游<role.type:ARGM-ADV>才 r:这+d:才+v:握+u:着+wp:【+v:藏+n:鞘+wp:】+v:游+u:了+v:进去+wp:。)
// 《我的一天有48小时》	但是没想到进入其中后游了不到半米， (~游<VOB>v:想到 ~游<role.type:ARGM-TMP>进入其中后 ~游<role.type:ARGM-EXT>不到半米 c:但是+d:没+v:想到+v:进入+r:其中+nd:后+v:游+u:了+d:不+v:到+m:半+q:米+wp:，)
游了	游了
// 《我师兄实在太稳健了》	青龙的龙首露出了一缕微笑，化作人身慢慢游了上去。 (~游<COO>v:化作 ~游<role.type:A0>青龙的龙首 ~游<role.type:ARGM-ADV>慢慢 v:化作+n:人身+d:慢慢+v:游+u:了+v:上去)
慢游了	慢游了
// 《我的一天有48小时》	真的游进蛇嘴中去， (~游<role.type:ARGM-ADV>真的 ~游<role.type:A1>蛇嘴中 a:真+u:的+v:游+v:进+n:蛇+n:嘴+nd:中+v:去+wp:，)
游进	游進
// 《我师兄实在太稳健了》	自小在酒缸游过泳， (~游<role.type:ARGM-ADV>自小 ~游<role.type:ARGM-LOC>在酒缸 ~游<role.type:A1>泳 d:自小+p:在+n:酒缸+v:游+u:过+n:泳+wp:，)
// 《我师兄实在太稳健了》	他们大摇大摆在那些仙蛟兵面前游过， (~游<role.type:A0>他们 ~游<role.type:ARGM-ADV>大摇大摆 ~游<role.type:ARGM-LOC>在那些仙蛟兵面前 r:他们+i:大摇大摆+p:在+r:那些+a:仙蛟+n:兵+nd:面前+v:游+u:过+wp:，)
// 《我的一天有48小时》	只能容纳海龟游过的裂缝就开始不断扩大， (~游<VOB>v:容纳 ~游<role.type:A0>海龟 v:只能+v:容纳+n:海龟+v:游+u:过+u:的+n:裂缝+d:就+v:开始+d:不断+v:扩大+wp:，) (~游過<VOB>v:容纳 ~游過<role.type:A0>海龟 v:只能+v:容纳+n:海龟+v:游过+u:的+n:裂缝+d:就+v:开始+d:不断+v:扩大+wp:。)
游过	游過
